id,project_id,user_id,role,status,joined_at,invited_by,created_at
"b86ebb6d-8610-49ee-992c-9f033cd329b0","12413e7f-8ff1-47f7-b6d6-91558835948c","550e8400-e29b-41d4-a716-446655440020","admin","active","2025-08-23 21:08:20.408168+05:30","550e8400-e29b-41d4-a716-446655440020","2025-08-23 21:08:20.408168+05:30"
"5bfef142-f9f7-4cea-8bcc-03aef906c0b2","411bad76-ae50-436b-bf00-0f841b4f682f","550e8400-e29b-41d4-a716-446655440020","admin","active","2025-08-23 21:18:53.037679+05:30","550e8400-e29b-41d4-a716-446655440020","2025-08-23 21:18:53.037679+05:30"
"734eb3a3-2d39-4580-a839-36ac9adf5630","41ad1a02-02a7-4b65-a464-0cb72a13b355","550e8400-e29b-41d4-a716-446655440020","admin","active","2025-08-24 09:34:06.150689+05:30","550e8400-e29b-41d4-a716-446655440020","2025-08-24 09:34:06.150689+05:30"
